Genre,Reports,Age,GPA,Year,Count,Gender,Nationality,Resolution
Housing and Transportation,"I'm really disappointed with the state of the public transportation system here. It's unreliable and inconvenient, and it's making it really difficult for me to stay on top of my studies and extracurricular activities.",17,0.59,1,1,M,Yemen,Improve the reliability of public transportation by increasing the frequency of buses and trains and addressing delays and cancellations.
Housing and Transportation,I feel like the university should be doing more to incentivize landlords to offer affordable housing to students. It's not fair that we have to pay so much just to have a place to live while we're pursuing our degrees.,23,1.29,1,1,F,Yemen,Work with local landlords to offer incentives for providing affordable housing options to students.
Housing and Transportation,"The lack of affordable housing options in this area is really limiting my choices. I feel like I have to settle for a place that's far away from campus and not very nice, just because it's the only thing I can afford.",27,3.57,2,1,M,Yemen,Develop more affordable housing options on or near campus to support students who are struggling with rent costs.
Housing and Transportation,"I have to rely on public transportation to get around, but the bus schedule is so sporadic that I'm constantly running late for classes and appointments. It's really frustrating and stressful.",20,1.28,2,1,F,Yemen,Improve the reliability of public transportation by increasing the frequency of buses and trains and addressing delays and cancellations.
Activities and Travelling,"I've been looking for ways to explore the area around campus and get to know the city better, but it's hard to find affordable and convenient transportation options. I wish there were more affordable shuttle services or student discounts for public transit.",16,2.06,3,1,M,Yemen,Introduce affordable shuttle services and student discounts for public transportation to help students explore the area around campus.
Activities and Travelling,"I'm really interested in trying out some new outdoor activities, but I don't know where to start. It would be great if the university offered more organized trips and activities, like hiking or kayaking, so that I could explore the area with other students.",23,2.56,3,1,F,Yemen,"Organize more outdoor activities and trips, such as hiking and kayaking, to help students explore the area and build connections with peers."
Activities and Travelling,"I've been feeling really burned out lately, and I think it's because I haven't had a chance to take a break and do something fun outside of class. I wish there were more social events and activities on campus that were geared towards stress relief and self-care.",18,3.11,4,1,M,Yemen,Introduce more social events and activities focused on stress relief and self-care to help students recharge and maintain their well-being.
Activities and Travelling,"I'm from out of town, and I'm having a hard time finding my way around the city. It would be great if the university offered more orientation sessions or tours for new students, so that we could feel more confident and comfortable navigating the area.",19,2.45,2,1,F,Yemen,Provide more orientation sessions and tours for new students to help them navigate the city and feel more comfortable.
Activities and Travelling,"I'm interested in studying abroad, but I'm not sure where to start. It would be great if the university had more resources and support for students who are considering international programs or trips.",23,3.4,1,1,M,Yemen,"Expand resources and support for students interested in studying abroad, including workshops and one-on-one advising."
Activities and Travelling,"I'm a transfer student, and I feel like I'm missing out on a lot of the traditional college experiences like road trips and spring break. It would be great if there were more organized trips and activities for transfer students, so that we could feel more connected to the university community.",16,2.83,3,1,F,Yemen,Organize more trips and activities specifically for transfer students to help them feel more connected to the university community.
Activities and Travelling,"I love exploring new places and trying new things, but it's hard to find the time and money to do so while I'm in school. It would be great if there were more affordable and accessible travel options for students, like student discounts on airfare or organized weekend trips.",17,2.31,1,1,M,Yemen,"Introduce affordable travel options, such as student discounts on airfare and organized weekend trips, to help students explore new places."
Activities and Travelling,"I'm interested in getting involved in outdoor activities and adventure sports, but I don't have a lot of experience. It would be great if the university offered more beginner-friendly courses and workshops, so that I could build my skills and confidence in a supportive environment.",16,1.86,4,1,M,Yemen,Offer beginner-friendly courses and workshops for outdoor activities and adventure sports to help students build skills and confidence.
Activities and Travelling,"I'm interested in exploring the arts and cultural scene in the city, but I'm not sure where to start. It would be great if the university offered more organized trips and events to museums, galleries, and theaters, so that I could discover new things and learn from other students.",19,0.94,5,1,F,Yemen,"Organize more trips and events to museums, galleries, and theaters to help students explore the arts and cultural scene in the city."
Activities and Travelling,"I'm passionate about sustainability and the environment, and I would love to get involved in eco-tourism or sustainable travel. It would be great if the university had more resources and support for students who are interested in these topics, so that we could learn about sustainable travel options and make more informed choices.",25,1.95,4,1,F,Yemen,"Provide resources and support for students interested in eco-tourism and sustainable travel, including workshops and information sessions."
Activities and Travelling,"I went on a trip with the university's travel club, but the accommodations were terrible. The hotel was dirty and uncomfortable, and it really detracted from the overall experience.",22,3.21,5,1,F,Yemen,Ensure that accommodations for university-sponsored trips meet quality standards to provide students with a positive experience.
Activities and Travelling,"I was really excited to go on a weekend trip with my friends, but the transportation ended up being a nightmare. Our bus broke down on the side of the road, and we ended up being stranded for hours.",20,3.09,4,1,M,Yemen,Improve the reliability of transportation for university-sponsored trips to ensure students have a safe and enjoyable experience.
Activities and Travelling,I wish there were more affordable travel options for students. It's hard to justify spending a ton of money on a trip when we're already struggling to make ends meet with tuition and living expenses.,21,0.14,2,1,F,Indonesia,"Introduce affordable travel options, such as student discounts on airfare and organized weekend trips, to help students explore new places."
Activities and Travelling,"I love exploring new places and trying new things, but it's hard to do that on a student budget. I wish there were more free or low-cost activities available in the area.",20,2.04,2,1,F,Indonesia,Organize more free or low-cost activities for students to explore the area and try new things.
Activities and Travelling,"I went on a trip to a nearby city with the school's travel program, but I felt like we didn't get to see as much as we could have. The itinerary was too packed, and we didn't have enough time to really explore and enjoy each location.",26,1.38,4,1,M,Indonesia,Adjust the itinerary for university-sponsored trips to allow more time for students to explore and enjoy each location.
Activities and Travelling,"I'm always looking for fun and interesting things to do on the weekends, but it seems like everything costs money. I wish there were more free events and activities available for students.",17,1.54,5,1,M,Indonesia,Organize more free events and activities for students to enjoy on weekends.
Activities and Travelling,"I went on a study abroad program, but I felt like I didn't get enough support from the school. I had trouble adjusting to the new culture and environment, and I wish there had been more resources available to help me.",21,3.16,5,1,F,Indonesia,"Expand support services for students participating in study abroad programs, including cultural orientation and counseling."
Activities and Travelling,"I'm really interested in outdoor activities like hiking and camping, but I don't have a car to get to the nearest parks and trails. It's frustrating to feel like I'm missing out on something that I really enjoy.",17,1.72,3,1,M,Indonesia,"Organize transportation for students interested in outdoor activities, such as hiking and camping, to ensure they can participate."
Activities and Travelling,"I went on a trip with a student organization, but the leaders didn't seem very organized. We were always running late or missing important details, and it made the trip more stressful than it needed to be.",19,1.98,1,1,M,Indonesia,Provide training for student organization leaders to ensure trips are well-organized and stress-free for participants.
Activities and Travelling,I wish there were more opportunities to travel and explore the world while still earning college credit. It would be a great way to combine my academic and personal interests.,27,1.86,5,1,M,Indonesia,Expand study abroad and travel programs that allow students to earn college credit while exploring the world.
Activities and Travelling,"I love the study abroad programs offered by our university. They've given me the chance to see the world and experience new cultures, all while earning credit towards my degree.",20,3.84,1,1,F,Indonesia,Continue to promote and expand study abroad programs to provide more students with opportunities to explore the world and earn college credit.
Activities and Travelling,"I wish there were more affordable travel options available for students. It's hard to save up enough money to take a trip when you're already paying for tuition, textbooks, and rent.",25,2.42,3,1,M,Indonesia,"Introduce affordable travel options, such as student discounts on airfare and organized weekend trips, to help students explore new places."
Activities and Travelling,"The university-sponsored trips and excursions are always a lot of fun, but they tend to fill up quickly. I wish there were more spots available so that more students could participate.",18,2.95,5,1,M,Indonesia,Increase the number of spots available for university-sponsored trips and excursions to allow more students to participate.
